source_url,target_url,anchor_text,position
http://127.0.0.1:4100/,/school-head-lice-toolkit,School outbreak response toolkit,section
http://127.0.0.1:4100/,/school-head-lice-toolkit,School Response Toolkit,footer
http://127.0.0.1:4100/for-schools,/school-head-lice-toolkit,Open Toolkit Framework,section
http://127.0.0.1:4100/for-schools,/school-head-lice-toolkit,Toolkit,section
http://127.0.0.1:4100/for-schools,/school-head-lice-toolkit,Open The Head Lice School Response Framework™,section
http://127.0.0.1:4100/for-schools,/school-head-lice-toolkit,School Response Toolkit,footer
http://127.0.0.1:4100/blog/what-are-the-first-signs-of-head-lice,/school-head-lice-toolkit,School outbreak response toolkit,body
http://127.0.0.1:4100/blog/what-are-the-first-signs-of-head-lice,/school-head-lice-toolkit,School Response Toolkit,footer
http://127.0.0.1:4100/blog/head-lice-treatment-for-adults,/school-head-lice-toolkit,School outbreak response toolkit,body
http://127.0.0.1:4100/blog/head-lice-treatment-for-adults,/school-head-lice-toolkit,School Response Toolkit,footer
